cv_metric_AUC	logLoss	AUC	prAUC	Accuracy	Kappa	F1	Sensitivity	Specificity	Pos_Pred_Value	Neg_Pred_Value	Precision	Recall	Detection_Rate	Balanced_Accuracy	method	seed
0.628245352495353	0.662879097545443	0.672222222222222	0.639142548223161	0.618556701030928	0.198347107438017	0.721804511278196	0.923076923076923	0.266666666666667	0.592592592592593	0.75	0.592592592592593	0.923076923076923	0.494845360824742	0.594871794871795	glmnet	29
0.65103656705486	0.682132594455212	0.603418803418803	0.581798047597065	0.587628865979381	0.120978704123244	0.71830985915493	0.980769230769231	0.133333333333333	0.566666666666667	0.857142857142857	0.566666666666667	0.980769230769231	0.525773195876289	0.557051282051282	glmnet	3
0.634246637752735	0.66430195154481	0.64017094017094	0.601563410462035	0.649484536082474	0.278021015761821	0.716666666666667	0.826923076923077	0.444444444444444	0.632352941176471	0.689655172413793	0.632352941176471	0.826923076923077	0.443298969072165	0.635683760683761	glmnet	30
0.65769851994852	0.686560137549496	0.577350427350427	0.54249071627605	0.556701030927835	0.0741398446170922	0.666666666666667	0.826923076923077	0.244444444444444	0.558441558441558	0.55	0.558441558441558	0.826923076923077	0.443298969072165	0.535683760683761	glmnet	31
0.61771764796155	0.640324573564717	0.667521367521367	0.647320130040569	0.690721649484536	0.359030837004405	0.758064516129032	0.903846153846154	0.444444444444444	0.652777777777778	0.8	0.652777777777778	0.903846153846154	0.484536082474227	0.674145299145299	glmnet	32
0.633106811515348	0.648837318656463	0.694871794871795	0.673889856302741	0.65979381443299	0.296019353419837	0.731707317073171	0.865384615384615	0.422222222222222	0.633802816901408	0.730769230769231	0.633802816901408	0.865384615384615	0.463917525773196	0.643803418803419	glmnet	33
0.628479486455096	0.666704630429486	0.674358974358974	0.655553851560881	0.597938144329897	0.149696561024949	0.715328467153285	0.942307692307692	0.2	0.576470588235294	0.75	0.576470588235294	0.942307692307692	0.505154639175258	0.571153846153846	glmnet	34
0.62827389323121	0.679435389894646	0.681623931623932	0.632087427196386	0.587628865979381	0.123757904245709	0.714285714285714	0.961538461538462	0.155555555555556	0.568181818181818	0.777777777777778	0.568181818181818	0.961538461538462	0.515463917525773	0.558547008547009	glmnet	35
0.640023928109294	0.672094857993813	0.629059829059829	0.619956768194661	0.577319587628866	0.100429767021036	0.709219858156028	0.961538461538462	0.133333333333333	0.561797752808989	0.75	0.561797752808989	0.961538461538462	0.515463917525773	0.547435897435897	glmnet	36
0.644799464098245	0.668991608218556	0.611111111111111	0.602854825132206	0.639175257731959	0.236907170150596	0.744525547445255	0.980769230769231	0.244444444444444	0.6	0.916666666666667	0.6	0.980769230769231	0.525773195876289	0.612606837606838	glmnet	37
0.616340684761416	0.676909342732612	0.697008547008547	0.658222067034147	0.587628865979381	0.120978704123244	0.71830985915493	0.980769230769231	0.133333333333333	0.566666666666667	0.857142857142857	0.566666666666667	0.980769230769231	0.525773195876289	0.557051282051282	glmnet	38
0.637416453910356	0.685660545642754	0.628205128205128	0.592184185857709	0.536082474226804	0.00637377646255398	0.689655172413793	0.961538461538462	0.0444444444444444	0.537634408602151	0.5	0.537634408602151	0.961538461538462	0.515463917525773	0.502991452991453	glmnet	39
0.627066325907789	0.681312228437118	0.618376068376068	0.599534771169924	0.597938144329897	0.149696561024949	0.715328467153285	0.942307692307692	0.2	0.576470588235294	0.75	0.576470588235294	0.942307692307692	0.505154639175258	0.571153846153846	glmnet	4
0.639671741427839	0.642129390590948	0.694444444444444	0.671141605914175	0.670103092783505	0.309915518008003	0.753846153846154	0.942307692307692	0.355555555555556	0.628205128205128	0.842105263157895	0.628205128205128	0.942307692307692	0.505154639175258	0.648931623931624	glmnet	40
